  102 ZINC00002115 ZINC 2.160e+03   1.53e-35 -48.2    0        0        -48.2      0  3  3 0.16
  103 ZINC00003275 ZINC 2.156e+03   1.39e-35 -50.7    0        0        -50.7      0  3  3 0.18
   96 ZINC00001959 ZINC 2.238e+03   1.38e-35 -53.5    0        0        -53.5      0  3  3 0.18
  107 ZINC00004005 ZINC 1.869e+03   2.15e-35 -50.2    0        0        -50.2      0  3  3 0.09
   97 ZINC00001959 ZINC 2.356e+03   9.61e-36 -43.2    0        0        -43.2      0  3  3 0.19
  106 ZINC00003291 ZINC 2.200e+03   2.78e-35 -53      0        0        -53        0  3  3 0.16
  100 ZINC00001460 ZINC 2.203e+03   2.29e-35 -41.3    0        0        -41.3      0  3  3 0.04
  111 ZINC00007231 ZINC 2.276e+03   2.62e-35 -58.6    0        0        -58.6      0  3  3 0.18
  104 ZINC00003285 ZINC 2.343e+03   2.29e-35 -48.1    0        0        -48.1      0  3  3 0.24
  101 ZINC00002115 ZINC 2.247e+03   4.98e-36 -44.6    0        0        -44.6      0  3  3 0.16
  115 ZINC00009539 ZINC 2.259e+03   2.35e-35 -45.6    0        0        -45.6      0  3  3 0.15
  108 ZINC00005882 ZINC 2.177e+03   1.3e-35  -47.8    0        0        -47.8      0  3  3 0.38
  119 ZINC00009552 ZINC 2.311e+03   2.15e-35 -49.5    0        0        -49.5      0  3  3 0.35
  110 ZINC00007231 ZINC 2.015e+03   1.53e-35 -58.7    0        0        -58.7      0  3  3 0.25
  105 ZINC00003291 ZINC 2.258e+03   1.74e-35 -47      0        0        -47        0  3  3 0.18
  112 ZINC00007231 ZINC 2.281e+03   2.69e-35 -57.8    0        0        -57.8      0  3  3 0.13
  123 ZINC00006494 ZINC 2.028e+03   1.32e-35 -43.5    0        0        -43.5      0  3  3 0.26
  109 ZINC00007231 ZINC 2.361e+03   2.65e-35 -54.7    0        0        -54.7      0  3  3 0.19
  114 ZINC00008580 ZINC 1.908e+03   2.26e-35 -44.7    0        0        -44.7      0  3  3 0.15
  116 ZINC00009539 ZINC 2.314e+03   2.71e-35 -47.6    0        0        -47.6      0  3  3 0.18
  127 ZINC00001702 ZINC 2.046e+03   2.59e-36 -37.2    0        0        -37.2      0  3  3 0.21
  113 ZINC00008580 ZINC 1.580e+03   7.67e-36 -46.8    0        0        -46.8      0  3  3 0.28
  118 ZINC00009552 ZINC 2.319e+03   2.09e-35 -50.6    0        0        -50.6      0  3  3 0.34
  120 ZINC00009552 ZINC 2.571e+03   1.88e-35 -57.3    0        0        -57.3      0  3  3 0.35
  131 ZINC00004056 <0>1 1.318e+03   -54.4    -12.4    0        0        -66.8      0  3  3 0.38
  117 ZINC00009552 ZINC 2.317e+03   2.11e-35 -51.7    0        0        -51.7      0  3  3 0.35
